sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1272000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1274250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1278000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1280250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1284000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1286250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1290000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1292250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1296000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1296000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1298250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1302000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1304250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1308000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1310250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1314000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1316250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1320000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1320000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1322250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1326000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1328250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1332000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1334250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1338000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1340250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1344000,10,accepted_control,CUT,UNSUPPORTED,8,6,3,0,192,0
1344000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1344000,0,rhythm_commit,CUT,UNSUPPORTED,8,8,3,0,192,0
1344000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1345125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1347000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1348125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1350000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1351125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1353000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1354125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1356000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
